Thu Dec 16 00:45:19 2021    output.dat

         18333277 function calls (17923685 primitive calls) in 9.899 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1901    0.119    0.000    0.138    0.000 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
     1900    0.004    0.000    0.039    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\StrategyStorage.py:25(get_average_strategy)
     1900    0.007    0.000    0.046    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\StrategyStorage.py:31(increment_average_strategy)
1862/1834    0.004    0.000    0.017    0.000 D:\Python_3_10\lib\copy.py:201(_deepcopy_list)
     1584    0.017    0.000    0.039    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\CardList.py:52(__sub__)
     1584    0.003    0.000    0.075    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\Game.py:84(replenish_visible_cards)
     1321    0.001    0.000    0.001    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\ActionSpace.py:15(__init__)
     1317    0.007    0.000    0.025    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\GameNode.py:32(pass_turn)
     1317    0.005    0.000    0.007    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\GameNode.py:43(__handle_game_state_change)
     1314    0.001    0.000    0.003    0.000 D:\Python_3_10\lib\abc.py:117(__instancecheck__)
     1314    0.002    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
     1311    0.001    0.000    0.003    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\GameNode.py:55(__init__)
     1310    0.001    0.000    0.003    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\GameNode.py:61(next_node)
     1310    0.001    0.000    0.002    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\GameNode.py:66(__init__)
     1306    0.002    0.000    0.003    0.000 D:\Python_3_10\lib\random.py:239(_randbelow_with_getrandbits)
     1306    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
     1305    0.015    0.000    9.730    0.007 D:\Programming\TicketToRideMCCFR_TDD\src\training\GameTree.py:31(simulate_for_n_turns)
     1304    0.001    0.000    0.003    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\CardList.py:78(number_of_cards)
     1304    0.008    0.000    0.018    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\CardList.py:95(draw_train_card)
     1304    0.002    0.000    0.005    0.000 D:\Python_3_10\lib\random.py:375(choice)
     1296    0.001    0.000    0.004    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\GameNode.py:72(next_node)
     1294    0.005    0.000    0.053    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\CardList.py:88(get_random)
     1287    0.001    0.000    0.001    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\training\GameNode.py:46(<listcomp>)
     1287    0.001    0.000    0.001    0.000 {built-in method builtins.any}
     1192    0.005    0.000    0.009    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\Destination.py:30(<listcomp>)
 1192/575    0.005    0.000    0.016    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\Destination.py:26(search)
     1000    0.001    0.000    0.002    0.000 D:\Python_3_10\lib\site-packages\fastenum\fastenum.py:64(__call__)
      964    0.004    0.000    0.125    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\Game.py:78(take_card)
      865    0.003    0.000    0.116    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\DrawVisibleCardAction.py:26(execute)
      846    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.dragon4_positional}
   715/10    0.002    0.000    0.006    0.001 D:\Python_3_10\lib\site-packages\numpy\core\arrayprint.py:751(recurser)
      705    0.001    0.000    0.001    0.000 D:\Python_3_10\lib\site-packages\numpy\core\arrayprint.py:701(_extendLine)
      705    0.001    0.000    0.002    0.000 D:\Python_3_10\lib\site-packages\numpy\core\arrayprint.py:715(_extendLine_pretty)
      705    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
      674    0.001    0.000    0.001    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\Route.py:7(__init__)
      674    0.001    0.000    0.002    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\RouteCost.py:7(__init__)
      654    0.000    0.000    0.000    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\DrawRandomCardAction.py:29(<genexpr>)
      633    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      620    0.002    0.000    0.003    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\ClaimRouteAction.py:21(__init__)
      620    0.004    0.000    0.023    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\ClaimRouteAction.py:33(is_valid)
      620    0.007    0.000    0.080    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\actions\ClaimRouteAction.py:42(execute)
      575    0.003    0.000    0.021    0.000 D:\Programming\TicketToRideMCCFR_TDD\src\game\Destination.py:20(path_from)
      532    0.000    0.000    0.001    0.000 D:\Python_3_10\lib\enum.py:359(__call__)
      532    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\enum.py:678(__new__)
      532    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\enum.py:786(__reduce_ex__)
      426    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\site-packages\numpy\core\arrayprint.py:946(<genexpr>)
      426    0.000    0.000    0.001    0.000 D:\Python_3_10\lib\site-packages\numpy\core\arrayprint.py:951(<genexpr>)
      426    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\site-packages\numpy\core\arrayprint.py:955(<genexpr>)
      426    0.000    0.000    0.000    0.000 D:\Python_3_10\lib\site-packages\numpy\core\arrayprint.py:956(<genexpr>)
      423    0.002    0.000    0.002    0.000 D:\Python_3_10\lib\site-packages\numpy\core\arrayprint.py:980(__call__)
      423    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      327    0.001    0.000    0.001    0.000 D:\Python_3_10\lib\site-packages\fastenum\fastenum.py:104(__format__)
